Year,GEO_ID,UrbanCode,UrbanName,UrbanTypeDescription,UrbanTypeCode,TotalPopulationEstimate
2013,400C100US32248,32248,Galax,VA Urban Cluster (2010),C,5954
2013,400C100US36190,36190,Hagerstown,MD--WV--PA Urbanized Area (2010),U,185647
2013,400C100US37162,37162,Harrisonburg,VA Urbanized Area (2010),U,68237
2013,400C100US46909,46909,Lake Monticello,VA Urban Cluster (2010),C,8715
2013,400C100US46972,46972,Lake of the Woods,VA Urban Cluster (2010),C,9588
2013,400C100US52093,52093,Luray,VA Urban Cluster (2010),C,4674
2013,400C100US52201,52201,Lynchburg,VA Urbanized Area (2010),U,119246
2013,400C100US55252,55252,Martinsville,VA Urban Cluster (2010),C,34490
2013,400C100US65674,65674,Orange,VA Urban Cluster (2010),C,4564
2013,400C100US74584,74584,Richlands,VA Urban Cluster (2010),C,9752
2013,400C100US74746,74746,Richmond,VA Urbanized Area (2010),U,963521
2013,400C100US84630,84630,Staunton--Waynesboro,VA Urbanized Area (2010),U,55754
2013,400C100US72694,72694,Pulaski,VA Urban Cluster (2010),C,16279
2013,400C100US72856,72856,Purcellville,VA Urban Cluster (2010),C,11971
2013,400C100US75421,75421,Roanoke,VA Urbanized Area (2010),U,211395
2013,400C100US85195,85195,Strasburg,VA Urban Cluster (2010),C,6903
2013,400C100US90892,90892,Virginia Beach,VA Urbanized Area (2010),U,1447320
2013,400C100US29332,29332,Farmville,VA Urban Cluster (2010),C,8442
2013,400C100US83143,83143,South Boston,VA Urban Cluster (2010),C,8057
2013,400C100US83278,83278,South Hill,VA Urban Cluster (2010),C,4443
2013,400C100US86815,86815,Tazewell,VA Urban Cluster (2010),C,4777
2013,400C100US31438,31438,Franklin,VA Urban Cluster (2010),C,8897
2013,400C100US31600,31600,Fredericksburg,VA Urbanized Area (2010),U,145739
2013,400C100US31924,31924,Front Royal,VA Urban Cluster (2010),C,18625
2013,400C100US54712,54712,Marion,VA Urban Cluster (2010),C,7910
2013,400C100US45235,45235,Kingsport,TN--VA Urbanized Area (2010),U,104734
2013,400C100US49555,49555,Lexington,VA Urban Cluster (2010),C,8390
2013,400C100US76015,76015,Rocky Mount,VA Urban Cluster (2010),C,5438
2013,400C100US82549,82549,Smithfield,VA Urban Cluster (2010),C,10796
2013,400C100US92242,92242,Washington,DC--VA--MD Urbanized Area (2010),U,4689111
2013,400C100US18775,18775,Colonial Beach,VA Urban Cluster (2010),C,3847
2013,400C100US95411,95411,Williamsburg,VA Urbanized Area (2010),U,76653
2013,400C100US01738,1738,Altavista,VA Urban Cluster (2010),C,4550
2013,400C100US20746,20746,Covington,VA Urban Cluster (2010),C,8333
2013,400C100US21448,21448,Crozet,VA Urban Cluster (2010),C,5821
2013,400C100US21691,21691,Culpeper,VA Urban Cluster (2010),C,18087
2013,400C100US22253,22253,Danville,VA--NC Urban Cluster (2010),C,49956
2013,400C100US26956,26956,Elkton,VA Urban Cluster (2010),C,3651
2013,400C100US97453,97453,Wytheville,VA Urban Cluster (2010),C,7060
2013,400C100US05958,5958,Bealeton,VA Urban Cluster (2010),C,7640
2013,400C100US06220,6220,Bedford,VA Urban Cluster (2010),C,7406
2013,400C100US27550,27550,Emporia,VA Urban Cluster (2010),C,6570
2013,400C100US07678,7678,Big Stone Gap,VA Urban Cluster (2010),C,8934
2013,400C100US08002,8002,Blacksburg,VA Urbanized Area (2010),U,89596
2013,400C100US08515,8515,Bluefield,WV--VA Urban Cluster (2010),C,43856
2013,400C100US10351,10351,Bristol--Bristol,TN--VA Urbanized Area (2010),U,68550
2013,400C100US10405,10405,Broadway,VA Urban Cluster (2010),C,6368
2013,400C100US11269,11269,Buena Vista,VA Urban Cluster (2010),C,6928
2013,400C100US15724,15724,Charlottesville,VA Urbanized Area (2010),U,93673
2013,400C100US97156,97156,Woodstock,VA Urban Cluster (2010),C,7328
2013,400C100US96103,96103,Winchester,VA Urbanized Area (2010),U,70028
2013,400C100US17857,17857,Clifton Forge,VA Urban Cluster (2010),C,5327
2014,400C100US86815,86815,Tazewell,VA Urban Cluster (2010),C,4878
2014,400C100US01738,1738,Altavista,VA Urban Cluster (2010),C,4517
2014,400C100US17857,17857,Clifton Forge,VA Urban Cluster (2010),C,5343
2014,400C100US82549,82549,Smithfield,VA Urban Cluster (2010),C,10675
2014,400C100US22253,22253,Danville,VA--NC Urban Cluster (2010),C,48933
2014,400C100US18775,18775,Colonial Beach,VA Urban Cluster (2010),C,3737
2014,400C100US55252,55252,Martinsville,VA Urban Cluster (2010),C,34086
2014,400C100US75421,75421,Roanoke,VA Urbanized Area (2010),U,212725
2014,400C100US83143,83143,South Boston,VA Urban Cluster (2010),C,8157
2014,400C100US83278,83278,South Hill,VA Urban Cluster (2010),C,4864
2014,400C100US97156,97156,Woodstock,VA Urban Cluster (2010),C,7855
2014,400C100US96103,96103,Winchester,VA Urbanized Area (2010),U,71560
2014,400C100US36190,36190,Hagerstown,MD--WV--PA Urbanized Area (2010),U,187870
2014,400C100US37162,37162,Harrisonburg,VA Urbanized Area (2010),U,68705
2014,400C100US84630,84630,Staunton--Waynesboro,VA Urbanized Area (2010),U,55738
2014,400C100US97453,97453,Wytheville,VA Urban Cluster (2010),C,6999
2014,400C100US65674,65674,Orange,VA Urban Cluster (2010),C,4574
2014,400C100US85195,85195,Strasburg,VA Urban Cluster (2010),C,6967
2014,400C100US26956,26956,Elkton,VA Urban Cluster (2010),C,3963
2014,400C100US05958,5958,Bealeton,VA Urban Cluster (2010),C,7509
2014,400C100US06220,6220,Bedford,VA Urban Cluster (2010),C,7016
2014,400C100US27550,27550,Emporia,VA Urban Cluster (2010),C,6438
2014,400C100US45235,45235,Kingsport,TN--VA Urbanized Area (2010),U,105366
2014,400C100US72694,72694,Pulaski,VA Urban Cluster (2010),C,16157
2014,400C100US72856,72856,Purcellville,VA Urban Cluster (2010),C,12343
2014,400C100US46909,46909,Lake Monticello,VA Urban Cluster (2010),C,8714
2014,400C100US46972,46972,Lake of the Woods,VA Urban Cluster (2010),C,9804
2014,400C100US76015,76015,Rocky Mount,VA Urban Cluster (2010),C,5643
2014,400C100US07678,7678,Big Stone Gap,VA Urban Cluster (2010),C,8682
2014,400C100US08002,8002,Blacksburg,VA Urbanized Area (2010),U,90827
2014,400C100US52093,52093,Luray,VA Urban Cluster (2010),C,4706
2014,400C100US52201,52201,Lynchburg,VA Urbanized Area (2010),U,120150
2014,400C100US74584,74584,Richlands,VA Urban Cluster (2010),C,9395
2014,400C100US74746,74746,Richmond,VA Urbanized Area (2010),U,975846
2014,400C100US08515,8515,Bluefield,WV--VA Urban Cluster (2010),C,43807
2014,400C100US10351,10351,Bristol--Bristol,TN--VA Urbanized Area (2010),U,68308
2014,400C100US10405,10405,Broadway,VA Urban Cluster (2010),C,6426
2014,400C100US90892,90892,Virginia Beach,VA Urbanized Area (2010),U,1454974
2014,400C100US11269,11269,Buena Vista,VA Urban Cluster (2010),C,6871
2014,400C100US29332,29332,Farmville,VA Urban Cluster (2010),C,8373
2014,400C100US54712,54712,Marion,VA Urban Cluster (2010),C,7997
2014,400C100US92242,92242,Washington,DC--VA--MD Urbanized Area (2010),U,4780352
2014,400C100US31438,31438,Franklin,VA Urban Cluster (2010),C,8924
2014,400C100US31600,31600,Fredericksburg,VA Urbanized Area (2010),U,147832
2014,400C100US31924,31924,Front Royal,VA Urban Cluster (2010),C,18940
2014,400C100US32248,32248,Galax,VA Urban Cluster (2010),C,6230
2014,400C100US20746,20746,Covington,VA Urban Cluster (2010),C,8180
2014,400C100US49555,49555,Lexington,VA Urban Cluster (2010),C,8471
2014,400C100US21448,21448,Crozet,VA Urban Cluster (2010),C,6173
2014,400C100US21691,21691,Culpeper,VA Urban Cluster (2010),C,18348
2014,400C100US95411,95411,Williamsburg,VA Urbanized Area (2010),U,78224
2014,400C100US15724,15724,Charlottesville,VA Urbanized Area (2010),U,95618
2015,400C100US46909,46909,Lake Monticello,VA Urban Cluster (2010),C,8876
2015,400C100US46972,46972,Lake of the Woods,VA Urban Cluster (2010),C,10339
2015,400C100US74584,74584,Richlands,VA Urban Cluster (2010),C,9292
2015,400C100US74746,74746,Richmond,VA Urbanized Area (2010),U,984730
2015,400C100US17857,17857,Clifton Forge,VA Urban Cluster (2010),C,5045
2015,400C100US54712,54712,Marion,VA Urban Cluster (2010),C,7539
2015,400C100US90892,90892,Virginia Beach,VA Urbanized Area (2010),U,1462684
2015,400C100US15724,15724,Charlottesville,VA Urbanized Area (2010),U,97340
2015,400C100US18775,18775,Colonial Beach,VA Urban Cluster (2010),C,3789
2015,400C100US29332,29332,Farmville,VA Urban Cluster (2010),C,8778
2015,400C100US92242,92242,Washington,DC--VA--MD Urbanized Area (2010),U,4850905
2015,400C100US31438,31438,Franklin,VA Urban Cluster (2010),C,8798
2015,400C100US49555,49555,Lexington,VA Urban Cluster (2010),C,8437
2015,400C100US72694,72694,Pulaski,VA Urban Cluster (2010),C,16144
2015,400C100US72856,72856,Purcellville,VA Urban Cluster (2010),C,12764
2015,400C100US31600,31600,Fredericksburg,VA Urbanized Area (2010),U,150843
2015,400C100US31924,31924,Front Royal,VA Urban Cluster (2010),C,18941
2015,400C100US32248,32248,Galax,VA Urban Cluster (2010),C,6505
2015,400C100US76015,76015,Rocky Mount,VA Urban Cluster (2010),C,5740
2015,400C100US52093,52093,Luray,VA Urban Cluster (2010),C,4719
2015,400C100US52201,52201,Lynchburg,VA Urbanized Area (2010),U,121671
2015,400C100US75421,75421,Roanoke,VA Urbanized Area (2010),U,213672
2015,400C100US55252,55252,Martinsville,VA Urban Cluster (2010),C,34067
2015,400C100US83143,83143,South Boston,VA Urban Cluster (2010),C,8007
2015,400C100US83278,83278,South Hill,VA Urban Cluster (2010),C,4969
2015,400C100US36190,36190,Hagerstown,MD--WV--PA Urbanized Area (2010),U,189958
2015,400C100US82549,82549,Smithfield,VA Urban Cluster (2010),C,10495
2015,400C100US37162,37162,Harrisonburg,VA Urbanized Area (2010),U,69204
2015,400C100US84630,84630,Staunton--Waynesboro,VA Urbanized Area (2010),U,55539
2015,400C100US65674,65674,Orange,VA Urban Cluster (2010),C,4570
2015,400C100US05958,5958,Bealeton,VA Urban Cluster (2010),C,7259
2015,400C100US06220,6220,Bedford,VA Urban Cluster (2010),C,6734
2015,400C100US86815,86815,Tazewell,VA Urban Cluster (2010),C,4764
2015,400C100US08002,8002,Blacksburg,VA Urbanized Area (2010),U,91702
2015,400C100US08515,8515,Bluefield,WV--VA Urban Cluster (2010),C,44359
2015,400C100US95411,95411,Williamsburg,VA Urbanized Area (2010),U,77915
2015,400C100US01738,1738,Altavista,VA Urban Cluster (2010),C,4496
2015,400C100US22253,22253,Danville,VA--NC Urban Cluster (2010),C,48298
2015,400C100US26956,26956,Elkton,VA Urban Cluster (2010),C,4099
2015,400C100US27550,27550,Emporia,VA Urban Cluster (2010),C,6497
2015,400C100US85195,85195,Strasburg,VA Urban Cluster (2010),C,6833
2015,400C100US10351,10351,Bristol--Bristol,TN--VA Urbanized Area (2010),U,68474
2015,400C100US10405,10405,Broadway,VA Urban Cluster (2010),C,6377
2015,400C100US11269,11269,Buena Vista,VA Urban Cluster (2010),C,6728
2015,400C100US20746,20746,Covington,VA Urban Cluster (2010),C,8091
2015,400C100US21448,21448,Crozet,VA Urban Cluster (2010),C,6201
2015,400C100US21691,21691,Culpeper,VA Urban Cluster (2010),C,18329
2015,400C100US07678,7678,Big Stone Gap,VA Urban Cluster (2010),C,8357
2015,400C100US97453,97453,Wytheville,VA Urban Cluster (2010),C,7175
2015,400C100US97156,97156,Woodstock,VA Urban Cluster (2010),C,7592
2015,400C100US45235,45235,Kingsport,TN--VA Urbanized Area (2010),U,105602
2015,400C100US96103,96103,Winchester,VA Urbanized Area (2010),U,71417
2016,400C100US18775,18775,Colonial Beach,VA Urban Cluster (2010),C,3699
2016,400C100US26956,26956,Elkton,VA Urban Cluster (2010),C,3655
2016,400C100US27550,27550,Emporia,VA Urban Cluster (2010),C,6597
2016,400C100US97453,97453,Wytheville,VA Urban Cluster (2010),C,7106
2016,400C100US20746,20746,Covington,VA Urban Cluster (2010),C,7940
2016,400C100US21448,21448,Crozet,VA Urban Cluster (2010),C,6204
2016,400C100US21691,21691,Culpeper,VA Urban Cluster (2010),C,18607
2016,400C100US05958,5958,Bealeton,VA Urban Cluster (2010),C,7518
2016,400C100US06220,6220,Bedford,VA Urban Cluster (2010),C,6839
2016,400C100US31438,31438,Franklin,VA Urban Cluster (2010),C,8965
2016,400C100US31600,31600,Fredericksburg,VA Urbanized Area (2010),U,151851
2016,400C100US31924,31924,Front Royal,VA Urban Cluster (2010),C,18772
2016,400C100US32248,32248,Galax,VA Urban Cluster (2010),C,6956
2016,400C100US45235,45235,Kingsport,TN--VA Urbanized Area (2010),U,105349
2016,400C100US74584,74584,Richlands,VA Urban Cluster (2010),C,9143
2016,400C100US74746,74746,Richmond,VA Urbanized Area (2010),U,994342
2016,400C100US84630,84630,Staunton--Waynesboro,VA Urbanized Area (2010),U,55979
2016,400C100US72694,72694,Pulaski,VA Urban Cluster (2010),C,15902
2016,400C100US72856,72856,Purcellville,VA Urban Cluster (2010),C,13238
2016,400C100US22253,22253,Danville,VA--NC Urban Cluster (2010),C,48263
2016,400C100US46909,46909,Lake Monticello,VA Urban Cluster (2010),C,9313
2016,400C100US46972,46972,Lake of the Woods,VA Urban Cluster (2010),C,9945
2016,400C100US86815,86815,Tazewell,VA Urban Cluster (2010),C,4691
2016,400C100US07678,7678,Big Stone Gap,VA Urban Cluster (2010),C,8008
2016,400C100US36190,36190,Hagerstown,MD--WV--PA Urbanized Area (2010),U,190252
2016,400C100US55252,55252,Martinsville,VA Urban Cluster (2010),C,34659
2016,400C100US82549,82549,Smithfield,VA Urban Cluster (2010),C,10526
2016,400C100US85195,85195,Strasburg,VA Urban Cluster (2010),C,6744
2016,400C100US15724,15724,Charlottesville,VA Urbanized Area (2010),U,98203
2016,400C100US29332,29332,Farmville,VA Urban Cluster (2010),C,9024
2016,400C100US37162,37162,Harrisonburg,VA Urbanized Area (2010),U,70347
2016,400C100US49555,49555,Lexington,VA Urban Cluster (2010),C,8323
2016,400C100US75421,75421,Roanoke,VA Urbanized Area (2010),U,214734
2016,400C100US17857,17857,Clifton Forge,VA Urban Cluster (2010),C,5022
2016,400C100US08002,8002,Blacksburg,VA Urbanized Area (2010),U,92766
2016,400C100US08515,8515,Bluefield,WV--VA Urban Cluster (2010),C,44383
2016,400C100US97156,97156,Woodstock,VA Urban Cluster (2010),C,7683
2016,400C100US96103,96103,Winchester,VA Urbanized Area (2010),U,71424
2016,400C100US95411,95411,Williamsburg,VA Urbanized Area (2010),U,79534
2016,400C100US01738,1738,Altavista,VA Urban Cluster (2010),C,4595
2016,400C100US52093,52093,Luray,VA Urban Cluster (2010),C,4405
2016,400C100US52201,52201,Lynchburg,VA Urbanized Area (2010),U,121721
2016,400C100US83143,83143,South Boston,VA Urban Cluster (2010),C,8035
2016,400C100US83278,83278,South Hill,VA Urban Cluster (2010),C,4646
2016,400C100US90892,90892,Virginia Beach,VA Urbanized Area (2010),U,1466616
2016,400C100US10351,10351,Bristol--Bristol,TN--VA Urbanized Area (2010),U,67735
2016,400C100US10405,10405,Broadway,VA Urban Cluster (2010),C,6400
2016,400C100US11269,11269,Buena Vista,VA Urban Cluster (2010),C,6633
2016,400C100US54712,54712,Marion,VA Urban Cluster (2010),C,7654
2016,400C100US65674,65674,Orange,VA Urban Cluster (2010),C,4506
2016,400C100US76015,76015,Rocky Mount,VA Urban Cluster (2010),C,6029
2016,400C100US92242,92242,Washington,DC--VA--MD Urbanized Area (2010),U,4897996
2017,400C100US49555,49555,Lexington,VA Urban Cluster (2010),C,8489
2017,400C100US90892,90892,Virginia Beach,VA Urbanized Area (2010),U,1469089
2017,400C100US29332,29332,Farmville,VA Urban Cluster (2010),C,9022
2017,400C100US52093,52093,Luray,VA Urban Cluster (2010),C,4390
2017,400C100US52201,52201,Lynchburg,VA Urbanized Area (2010),U,122765
2017,400C100US76015,76015,Rocky Mount,VA Urban Cluster (2010),C,6142
2017,400C100US92242,92242,Washington,DC--VA--MD Urbanized Area (2010),U,4957133
2017,400C100US54712,54712,Marion,VA Urban Cluster (2010),C,7559
2017,400C100US74584,74584,Richlands,VA Urban Cluster (2010),C,8699
2017,400C100US74746,74746,Richmond,VA Urbanized Area (2010),U,1004150
2017,400C100US72694,72694,Pulaski,VA Urban Cluster (2010),C,15760
2017,400C100US72856,72856,Purcellville,VA Urban Cluster (2010),C,13508
2017,400C100US45235,45235,Kingsport,TN--VA Urbanized Area (2010),U,105433
2017,400C100US31438,31438,Franklin,VA Urban Cluster (2010),C,8725
2017,400C100US31600,31600,Fredericksburg,VA Urbanized Area (2010),U,154511
2017,400C100US31924,31924,Front Royal,VA Urban Cluster (2010),C,19140
2017,400C100US32248,32248,Galax,VA Urban Cluster (2010),C,7082
2017,400C100US46909,46909,Lake Monticello,VA Urban Cluster (2010),C,9596
2017,400C100US46972,46972,Lake of the Woods,VA Urban Cluster (2010),C,10002
2017,400C100US85195,85195,Strasburg,VA Urban Cluster (2010),C,6737
2017,400C100US86815,86815,Tazewell,VA Urban Cluster (2010),C,4596
2017,400C100US82549,82549,Smithfield,VA Urban Cluster (2010),C,10478
2017,400C100US55252,55252,Martinsville,VA Urban Cluster (2010),C,33679
2017,400C100US36190,36190,Hagerstown,MD--WV--PA Urbanized Area (2010),U,191529
2017,400C100US75421,75421,Roanoke,VA Urbanized Area (2010),U,214759
2017,400C100US37162,37162,Harrisonburg,VA Urbanized Area (2010),U,71216
2017,400C100US83143,83143,South Boston,VA Urban Cluster (2010),C,7901
2017,400C100US83278,83278,South Hill,VA Urban Cluster (2010),C,4823
2017,400C100US65674,65674,Orange,VA Urban Cluster (2010),C,4791
2017,400C100US84630,84630,Staunton--Waynesboro,VA Urbanized Area (2010),U,56342
2017,400C100US21448,21448,Crozet,VA Urban Cluster (2010),C,6026
2017,400C100US21691,21691,Culpeper,VA Urban Cluster (2010),C,18573
2017,400C100US22253,22253,Danville,VA--NC Urban Cluster (2010),C,47870
2017,400C100US05958,5958,Bealeton,VA Urban Cluster (2010),C,7241
2017,400C100US06220,6220,Bedford,VA Urban Cluster (2010),C,6878
2017,400C100US26956,26956,Elkton,VA Urban Cluster (2010),C,3899
2017,400C100US15724,15724,Charlottesville,VA Urbanized Area (2010),U,99676
2017,400C100US07678,7678,Big Stone Gap,VA Urban Cluster (2010),C,7763
2017,400C100US27550,27550,Emporia,VA Urban Cluster (2010),C,6370
2017,400C100US17857,17857,Clifton Forge,VA Urban Cluster (2010),C,4803
2017,400C100US95411,95411,Williamsburg,VA Urbanized Area (2010),U,79973
2017,400C100US08002,8002,Blacksburg,VA Urbanized Area (2010),U,92757
2017,400C100US18775,18775,Colonial Beach,VA Urban Cluster (2010),C,3672
2017,400C100US01738,1738,Altavista,VA Urban Cluster (2010),C,4994
2017,400C100US20746,20746,Covington,VA Urban Cluster (2010),C,7874
2017,400C100US08515,8515,Bluefield,WV--VA Urban Cluster (2010),C,44383
2017,400C100US10351,10351,Bristol--Bristol,TN--VA Urbanized Area (2010),U,67695
2017,400C100US10405,10405,Broadway,VA Urban Cluster (2010),C,6437
2017,400C100US11269,11269,Buena Vista,VA Urban Cluster (2010),C,6528
2017,400C100US97453,97453,Wytheville,VA Urban Cluster (2010),C,7105
2017,400C100US97156,97156,Woodstock,VA Urban Cluster (2010),C,7699
2017,400C100US96103,96103,Winchester,VA Urbanized Area (2010),U,72741
2018,400C100US82549,82549,Smithfield,VA Urban Cluster (2010),C,10192
2018,400C100US10351,10351,Bristol--Bristol,TN--VA Urbanized Area (2010),U,67680
2018,400C100US10405,10405,Broadway,VA Urban Cluster (2010),C,6395
2018,400C100US92242,92242,Washington,DC--VA--MD Urbanized Area (2010),U,4983397
2018,400C100US83143,83143,South Boston,VA Urban Cluster (2010),C,7690
2018,400C100US83278,83278,South Hill,VA Urban Cluster (2010),C,4728
2018,400C100US26956,26956,Elkton,VA Urban Cluster (2010),C,3725
2018,400C100US54712,54712,Marion,VA Urban Cluster (2010),C,7372
2018,400C100US01738,1738,Altavista,VA Urban Cluster (2010),C,4913
2018,400C100US97156,97156,Woodstock,VA Urban Cluster (2010),C,7670
2018,400C100US96103,96103,Winchester,VA Urbanized Area (2010),U,73710
2018,400C100US11269,11269,Buena Vista,VA Urban Cluster (2010),C,6468
2018,400C100US49555,49555,Lexington,VA Urban Cluster (2010),C,8196
2018,400C100US36190,36190,Hagerstown,MD--WV--PA Urbanized Area (2010),U,193316
2018,400C100US65674,65674,Orange,VA Urban Cluster (2010),C,4930
2018,400C100US45235,45235,Kingsport,TN--VA Urbanized Area (2010),U,105711
2018,400C100US72694,72694,Pulaski,VA Urban Cluster (2010),C,15607
2018,400C100US72856,72856,Purcellville,VA Urban Cluster (2010),C,13946
2018,400C100US15724,15724,Charlottesville,VA Urbanized Area (2010),U,101564
2018,400C100US20746,20746,Covington,VA Urban Cluster (2010),C,7742
2018,400C100US31438,31438,Franklin,VA Urban Cluster (2010),C,8636
2018,400C100US31600,31600,Fredericksburg,VA Urbanized Area (2010),U,155072
2018,400C100US31924,31924,Front Royal,VA Urban Cluster (2010),C,19749
2018,400C100US21448,21448,Crozet,VA Urban Cluster (2010),C,5650
2018,400C100US21691,21691,Culpeper,VA Urban Cluster (2010),C,18699
2018,400C100US95411,95411,Williamsburg,VA Urbanized Area (2010),U,80740
2018,400C100US22253,22253,Danville,VA--NC Urban Cluster (2010),C,47524
2018,400C100US07678,7678,Big Stone Gap,VA Urban Cluster (2010),C,7701
2018,400C100US32248,32248,Galax,VA Urban Cluster (2010),C,6821
2018,400C100US37162,37162,Harrisonburg,VA Urbanized Area (2010),U,72168
2018,400C100US97453,97453,Wytheville,VA Urban Cluster (2010),C,7066
2018,400C100US76015,76015,Rocky Mount,VA Urban Cluster (2010),C,6253
2018,400C100US46909,46909,Lake Monticello,VA Urban Cluster (2010),C,9971
2018,400C100US46972,46972,Lake of the Woods,VA Urban Cluster (2010),C,10144
2018,400C100US17857,17857,Clifton Forge,VA Urban Cluster (2010),C,4790
2018,400C100US84630,84630,Staunton--Waynesboro,VA Urbanized Area (2010),U,57294
2018,400C100US86815,86815,Tazewell,VA Urban Cluster (2010),C,4241
2018,400C100US55252,55252,Martinsville,VA Urban Cluster (2010),C,33089
2018,400C100US75421,75421,Roanoke,VA Urbanized Area (2010),U,215054
2018,400C100US27550,27550,Emporia,VA Urban Cluster (2010),C,6287
2018,400C100US90892,90892,Virginia Beach,VA Urbanized Area (2010),U,1471105
2018,400C100US52093,52093,Luray,VA Urban Cluster (2010),C,4371
2018,400C100US52201,52201,Lynchburg,VA Urbanized Area (2010),U,123028
2018,400C100US05958,5958,Bealeton,VA Urban Cluster (2010),C,6960
2018,400C100US06220,6220,Bedford,VA Urban Cluster (2010),C,6702
2018,400C100US29332,29332,Farmville,VA Urban Cluster (2010),C,8702
2018,400C100US18775,18775,Colonial Beach,VA Urban Cluster (2010),C,3670
2018,400C100US74584,74584,Richlands,VA Urban Cluster (2010),C,8592
